Wort;Verboten1;Verboten2;Verboten3;Verboten4
Quantummechanik;Physik;Subatomare;Heisenberg;Unsicherheit
Relativität;Einstein;Zeit;Raum;Geschwindigkeit
Thermodynamik;Wärme;Entropie;Gesetz;Energie
Spektroskopie;Licht;Welle;Analyse;Farbe
Osmose;Wasser;Membran;Diffusion;Konzentration
Katalyse;Enzyme;Reaktion;Beschleunigung;Chemisch
Ionisierung;Elektron;Ion;Radioaktiv;Strahlung
Polymere;Kunststoff;Kette;Monomere;Plastik
Isomer;Chemisch;Struktur;Formel;Gleich
Hydrolyse;Wasser;Bindung;Spalt;Chemisch
Oxidation;Reaktion;Sauerstoff;Elektron;Rosten
Reduktion;Chemisch;Elektron;Wasserstoff;Reaktion
pH-Wert;Säure;Basis;Neutral;Konzentration
Osmotische Druck;Wasser;Konzentration;Membran;Kraft
Elektrophorese;Proteine;Bewegung;Feld;Trennung
Chromatografie;Trennung;Komponenten;Farbe;Absorption
Spektrometrie;Analyse;Welle;Frequenz;Zusammensetzung
Crystallographie;Struktur;Röntgen;Gitter;Symmetrie
Fermentation;Mikrobe;Zucker;Alkohol;Energie
Genetik;Gen;DNA;Erblich;Mendel
