Physik;energie;kräfte;bewegung;natur
Chemie;reaktion;stoffe;labor;elemente
Biologie;leben;organismen;zellen;natur
Mathematik;zahlen;rechnen;formeln;logik
Forschung;studie;wissen;analyse;experiment
Experiment;versuch;labor;testen;hypothese
Theorie;modell;erklärung;annahme;konzept
Hypothese;vermutung;annahme;test;theorie
Daten;messung;information;sammlung;analyse
Analyse;auswertung;daten;untersuchung;methode
Statistik;zahlen;wahrscheinlichkeit;daten;analyse
Labor;forschung;geräte;experiment;raum
Zelle;biologie;körper;organismus;struktur
DNA;gene;erbinformation;genetik;zelle
Gen;vererbung;dna;eigenschaft;information
Evolution;entwicklung;arten;darwin;anpassung
Energie;kraft;strom;leistung;arbeit
Materie;stoff;substanz;physik;masse
Gravitation;anziehung;schwerkraft;erde;masse
Licht;strahlung;sehen;energie;wellen
Atom;teilchen;kern;physik;materie
Molekül;bindung;chemie;stoffe;teilchen
Reaktion;umwandlung;chemie;prozess;stoffe
Formel;gleichung;mathematik;zeichen;regel
Modell;darstellung;vereinfachung;theorie;abbild
Simulation;nachbildung;computer;modell;prozess
Messung;wert;instrument;daten;erfassung
Beobachtung;sehen;erkennen;forschung;wahrnehmen
Entdeckung;fund;neu;wissen;erkenntnis
Innovation;neuerung;technik;entwicklung;idee
Technologie;technik;anwendung;entwicklung;geräte
Medizin;gesundheit;arzt;behandlung;krankheit
Psychologie;verhalten;denken;geist;emotion
Soziologie;gesellschaft;gruppen;strukturen;forschung
Astronomie;sterne;weltall;planeten;raum
Planet;himmelskörper;umlauf;sonne;astronomie
Stern;sonne;licht;galaxie;weltall
Galaxie;milchstraße;sterne;universum;system
Universum;weltall;raum;zeit;kosmos
